Afghanistan,0.172896741,0.149789334,0.131694556,0.1632953,0.159824372
Albania,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832
United Arab Emirates,21.07764197,21.48066861,20.76902233,18.39067806,19.32956328
Argentina,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291
Australia,15.863288,15.91465712,15.81831632,15.49352925,15.23826715
Austria,7.317158873,7.288819983,7.486161583,7.133063919,7.293984252
Azerbaijan,3.292452869,3.304019557,3.243341999,3.292832354,3.542397828
Belgium,8.437851999,8.314931808,8.151095679,8.196338589,8.095583954
Bangladesh,0.461997426,0.470827565,0.496851847,0.517113005,0.556529455
Bulgaria,6.207865317,5.834881981,6.20129024,5.82203361,5.61085728
Bahrain,22.29101801,21.25133118,20.42732768,19.63120569,20.26610279
Bosnia and Herzegovina,5.721181036,6.597243083,6.767050642,6.799182648,6.382918043
Belarus,5.79426692,5.822979457,5.92135146,6.245507315,6.122237765
Bolivia,1.909890716,1.995137361,2.032547019,2.046129929,1.940398005
Brazil,2.373628508,2.168574696,2.196418173,2.071854677,2.057810839
Barbados,4.451033309,4.513677359,4.122573001,4.325983846,4.355082032
Bhutan,1.057859388,1.262376046,1.301030267,1.391841887,1.375977209
Botswana,3.277194971,3.069551079,3.32414843,3.243026912,3.147107071
Central African Republic,0.042286394,0.046279124,0.047867471,0.049288796,0.050577648
Canada,15.64858561,15.42060171,15.54457104,15.65057904,15.43061283
Switzerland,4.719648777,4.737656377,4.578884688,4.40199099,4.359041462
Chile,4.576124117,4.749830077,4.714019984,4.624338351,4.821118299
China,7.146449357,7.115385005,7.230985031,7.487331894,7.605936961
Congo ,1.165546016,1.104196831,1.058563169,1.237519175,1.349316017
Colombia,1.688318124,1.716241161,1.533229136,1.582527692,1.609870831
Costa Rica,1.55534308,1.64920306,1.668702085,1.674186481,1.632471558
Cuba,2.579300156,2.396977609,2.314084988,2.355764257,2.286146065
Cyprus,5.900152116,6.169943308,6.238953732,6.054174614,5.998795283
Czech Republic,9.400668002,9.627750042,9.611647341,9.492068199,9.022786158
Germany,9.087290909,9.073006686,8.858293847,8.536196091,7.911621016
Denmark,5.929462754,6.166190299,5.746767737,5.718343553,5.107988509
Algeria,3.933495912,3.820090337,3.825637988,3.920109085,3.977650459
Egypt,2.44779056,2.448249515,2.511649632,2.518806451,2.484059911
Spain,5.51794436,5.314294581,5.654254455,5.492571471,5.09135092
Finland,7.814537356,8.316193077,7.810154155,8.082639791,7.372854761
Fiji,1.588704993,1.742308032,1.880427571,1.844955795,1.831553275
France,4.677807228,4.70474678,4.749542598,4.575874163,4.468770089
United Kingdom,6.159448333,5.804004752,5.555651514,5.427748177,5.220514488
Georgia,2.469615623,2.588862958,2.609975618,2.568059536,2.717624226
Ghana,0.566623028,0.564217035,0.584105258,0.627538298,0.658823541
Equatorial Guinea,5.622232353,5.480664895,4.595850574,4.912274137,3.945480032
Greece,6.28506954,6.203617147,6.211250289,6.0580184,5.59618907
Guatemala,1.049628082,1.105025419,1.029997461,1.120698338,1.162970924
Croatia,3.948992432,4.043744105,4.221085948,4.019234669,4.063707833
Hungary,4.407180501,4.50885432,4.744601547,4.746529359,4.74663103
Indonesia,1.890795841,1.844764783,1.954725536,2.15559759,2.290397148
India,1.647151914,1.657396308,1.733360844,1.8126965,1.797620119
Ireland,7.881824817,8.163462657,7.858737173,7.737323783,7.245143221
Iran,7.633623871,7.631719002,7.764841864,7.792523264,7.598364845
Iraq,3.743646439,3.884936915,4.129653375,4.244982955,4.440624129
Iceland,6.227045154,4.859303764,4.863133247,4.819673475,4.548442258
Israel,7.892507176,7.603557613,7.529868203,6.87621041,6.919593718
Italy,5.563259469,5.498165145,5.437857589,5.37687093,5.311315442
Jamaica,2.452418296,2.604738412,2.471884805,2.933707295,2.845730012
Japan,9.276629423,9.189697811,9.098304984,8.801681435,8.540980205
Kazakhstan,10.87226272,11.36053552,11.89614517,11.8513159,11.45693783
Korea,11.91474367,12.02472517,12.20028602,12.22524582,11.79932538
Kuwait,23.20895692,23.13702198,22.36876769,22.08921039,22.0224164
Libya,7.997426401,7.847927464,8.382057693,8.477868963,8.380729344
Sri Lanka,0.970910854,1.034287615,1.089349031,1.00092296,1.090675627
Luxembourg,16.02867977,15.20582045,15.09216281,15.33020757,15.30642656
Latvia,3.701593036,3.648821173,3.665855177,4.042188179,3.955435862
Morocco,1.742749914,1.71723308,1.785209569,1.802987555,1.959872285
Madagascar,0.135346585,0.127739729,0.135703195,0.12755921,0.152766255
Maldives,3.011558239,3.701328042,3.746993369,4.072103192,3.973956262
Mexico,3.870316544,3.837647208,3.779372436,3.58639514,3.521600048
Marshall Islands,2.611238875,3.118341166,3.100615079,3.081558706,3.061693238
North Macedonia,3.579319286,3.522333131,3.755118077,3.51601022,3.996737213
Mali,0.209303734,0.259943425,0.279812002,0.286721356,0.29657102
Malta,3.729892769,2.964713376,3.247870147,3.198316143,3.293245606
Myanmar,0.361422537,0.412101397,0.60881351,0.613312795,0.679428523
Montenegro,3.793242395,3.454908775,3.647330429,4.017826292,4.179875994
Mongolia,5.769680109,5.944984219,6.288160891,6.79764812,7.153120086
Mauritius,3.136372847,3.197535651,3.297451534,3.264040403,3.294591006
Malaysia,7.814088295,7.689838122,7.317875576,7.752148815,7.927126037
Namibia,1.814332366,1.751451675,1.777224301,1.727729453,1.691705428
Nigeria,0.594907347,0.595987612,0.56844006,0.561021958,0.573636206
Netherlands,9.292250246,9.309281866,9.092131413,8.783850008,8.437074627
Norway,7.610906295,7.404691495,7.148044335,7.076542655,6.722269985
Nepal,0.266148113,0.38183016,0.451639097,0.540651882,0.470136453
New Zealand,7.003080396,6.616321362,6.841033801,6.603273193,6.830414187
Oman,16.43412074,16.10326029,15.41601824,15.65387186,15.28243639
Pakistan,0.823008136,0.889401339,0.956344699,0.882587328,0.879965499
Panama,2.69623958,2.667774513,2.466662344,2.408503314,3.141454996
Peru,1.790242082,1.838580302,1.725909058,1.706509986,1.745591927
Philippines,1.087126793,1.176495411,1.269338141,1.299279851,1.345029057
Poland,7.610089275,7.895688724,8.238615375,8.213615723,7.773641839
Korea,0.996671213,1.185411613,2.134895546,1.977721253,2.18341993
Portugal,4.812669696,4.722311267,5.177519279,4.813385529,4.339768426
Paraguay,0.952345908,1.059328573,1.173719578,1.217641784,1.165425232
Qatar,33.04351032,32.74588827,32.12798967,31.0675333,32.47446876
Romania,3.700112058,3.633591827,3.788405676,3.86105157,3.817434477
Russian Federation,11.05201007,10.88744577,11.03519747,11.49657125,11.79720293
Saudi Arabia,17.81940147,17.29871828,16.4667833,15.46639077,15.28457873
Sudan,0.480940393,0.530272531,0.513556825,0.499024787,0.481626765
Singapore,8.207765834,8.221450295,8.755841796,8.406228967,8.307079491
Solomon Islands,0.513982824,0.581171989,0.550288499,0.551423307,0.537457043
El Salvador,1.106698196,1.128043665,0.998728283,1.060625402,1.208637136
Somalia,0.047110993,0.046525942,0.045239054,0.043975888,0.04468071
Serbia,6.397117589,6.604969132,6.74276565,6.606418045,6.616046939
Suriname,4.864648366,5.222320459,4.382113265,3.836892218,4.558253785
Slovak Republic,5.669455793,5.80025256,6.173666031,6.058635474,5.698416255
Slovenia,6.367726166,6.731097778,6.833179386,6.784338879,6.512209378
Sweden,3.999311639,3.908058712,3.807034265,3.538991742,3.405037919
Syrian Arab Republic,1.404090869,1.508110224,1.716224159,1.616400069,1.506139442
Thailand,3.841982798,3.79288134,3.739642995,3.702372341,3.836090019
Tajikistan,0.579605995,0.702943087,0.829929708,0.953757415,1.010618692
Turkmenistan,13.18890729,12.9521708,12.6995887,12.48525493,12.26335409
Trinidad and Tobago,15.56557092,13.29158773,13.18584454,12.79283075,12.32285487
Tunisia,2.726308867,2.619440246,2.620384095,2.584476847,2.557564208
Tanzania,0.227066833,0.21112464,0.216427465,0.213092987,0.21463496
Ukraine,4.231515591,4.480868101,3.902198828,4.159783074,3.936583531
Uruguay,1.946065231,1.904128302,1.774986914,1.896042363,1.874784543
United States,15.56003496,15.1498852,14.82326087,15.22254765,14.67341061
Uzbekistan,3.168481901,3.304142608,3.381745391,3.412721809,3.47554445
Vietnam,2.380847445,2.38913885,2.436029922,2.989137469,3.488312636
South Africa,7.669937662,7.563739495,7.641675086,7.515678605,7.507736092
Zambia,0.312354964,0.325114844,0.404067778,0.445489133,0.380717051
Zimbabwe,0.899769991,0.78544084,0.726297071,0.857411269,0.80297852